firstname,surname,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,sockheightcode,socklengthcode,weight,gender,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,skintypecode,isreal,headvariation,skintonecode,shortstyle,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Nigel,Miller,6,10,0,1,0,4003,1,188,60,0,137839,0,0,80,0,2,1,0,1,0,2,1,0,2,0,417,14,2,0,0,5,3
Peter,Bankes,3,0,43,1,0,4,1,183,14,0,145865,0,0,85,0,0,3,0,1,0,2,1,0,2,0,418,14,1,0,0,3,2
Paul,Tierney,3,0,65,1,0,2003,2,176,13,0,145176,0,0,70,0,2,2,0,1,0,2,1,0,2,0,419,14,3,0,0,2,2
Stuart,Attwell,3,0,40,1,31,0,1,180,13,224,146089,0,0,74,0,0,9,0,1,0,2,1,0,2,0,420,14,0,30,0,1,2
Scott,Duncan,9,0,43,1,31,4003,1,175,14,224,138840,0,0,85,0,0,6,0,1,0,2,1,0,2,0,421,14,0,30,0,3,3
Simon,Hooper,6,0,0,1,0,2014,1,175,14,0,146006,0,0,77,0,2,1,0,1,0,0,1,0,2,0,422,14,1,0,0,3,3
Stephen,Martin,6,0,65,1,0,19,1,182,14,0,145409,0,0,79,0,2,3,0,1,0,0,1,0,2,0,423,14,1,0,0,3,3
Tony,Harrington,3,0,39,1,0,4003,2,172,14,0,146411,0,0,78,0,2,3,0,1,0,2,1,0,2,0,424,14,2,0,0,1,2
Andy,Haines,9,0,26,1,31,4000,1,183,60,224,139706,0,0,78,0,2,1,0,1,0,2,1,0,2,0,425,14,0,30,0,2,3
Darren,Bond,9,0,122,1,0,25,1,175,14,0,145887,0,0,80,0,0,9,0,1,0,2,1,0,2,0,426,14,3,0,0,2,2
David,Webb,6,0,31,1,31,10,1,172,60,224,144319,0,0,73,0,0,1,0,1,0,2,1,0,2,0,428,14,0,30,0,2,3
Mark,Brown,5,0,92,1,0,6,2,180,60,0,143063,0,0,86,0,2,1,0,1,0,2,1,0,2,0,430,14,1,0,0,3,3
Mark,Haywood,9,0,150,2,31,3500,1,183,60,224,140014,0,0,80,0,0,4,0,1,0,2,1,0,2,0,431,14,0,30,0,3,3
Mark,Heywood,9,0,37,2,0,16,1,181,60,0,140855,0,0,78,0,0,6,0,1,0,2,1,0,2,0,432,14,2,0,0,3,3
Oliver,Langford,6,0,65,1,0,2015,1,175,14,0,145166,0,0,77,0,2,1,0,1,0,2,1,0,2,0,434,14,3,0,0,2,3
Richard,Clark,6,0,123,1,0,2007,1,175,60,0,144591,0,0,88,0,2,3,0,1,0,2,1,0,2,0,435,14,1,0,0,3,3
Seb,Stockbridge,9,0,117,2,0,2022,1,178,60,0,146510,0,2,75,0,1,3,0,1,0,2,1,0,2,0,436,14,2,0,0,1,2
Andy,Woolmer,0,0,29,1,0,10,1,170,14,0,140076,0,0,70,0,2,4,0,1,0,2,1,0,2,0,437,14,1,0,0,8,1
Chris,Sarginson,5,0,92,1,31,19,1,192,60,224,140666,0,0,75,0,2,1,0,1,0,2,1,0,2,0,438,14,0,30,0,5,3
Darren,Handley,9,0,43,1,31,15,1,179,60,224,144228,0,0,79,0,1,3,0,1,0,2,1,0,2,0,439,14,0,30,0,3,2
Graham,Horwood,9,0,29,1,31,4000,2,187,60,224,141442,0,0,75,0,0,5,0,1,0,2,1,0,2,0,440,14,0,30,0,5,2
Graham,Salisbury,9,0,43,1,0,2,1,178,60,0,138810,0,0,95,0,1,1,0,1,0,2,1,0,2,0,441,14,1,0,0,2,3
Lee,Collins,6,0,65,1,31,3500,2,178,60,224,146425,0,0,84,0,0,1,0,1,0,2,1,0,2,0,443,14,0,30,0,3,3
Tim,Robinson,1,0,37,2,0,2007,2,180,14,0,146227,0,0,85,0,0,3,0,1,0,0,1,0,2,0,445,14,1,0,0,2,0
Brendan,Malone,9,0,105,2,31,2003,1,175,61,224,140782,0,0,90,0,1,1,0,1,0,2,1,0,2,0,446,14,0,30,0,3,3
Ben,Toner,6,0,124,1,0,8,1,180,61,0,147241,0,0,75,0,1,3,0,1,0,2,1,0,2,0,447,14,3,0,0,1,2
Charles,Breakspear,6,6,0,2,31,16,2,180,60,224,148162,0,0,90,0,2,3,0,1,0,2,1,0,2,0,448,14,0,30,0,3,3
Darren,England,6,0,77,1,0,2016,1,178,60,0,147027,0,0,75,0,2,3,0,1,0,0,1,0,2,0,449,14,2,0,0,2,3
Kevin,Johnson,9,0,0,1,31,16,1,180,61,224,144258,0,0,75,0,0,8,0,1,0,2,1,0,2,0,453,14,0,30,0,2,3
Lee,Swabey,7,0,40,2,31,2000,2,174,61,224,146327,0,0,69,0,2,3,0,1,0,2,1,0,2,0,454,14,0,30,0,3,4
Nick,Kinseley,1,0,0,2,0,4003,1,175,61,0,143513,0,0,79,0,0,1,0,1,0,2,1,0,2,0,455,14,1,0,0,2,0
Ross,Joyce,6,0,122,2,0,2006,1,173,60,0,147496,0,0,83,0,0,1,0,1,0,2,1,0,2,0,457,14,1,0,0,2,2
Rob,Lewis,5,0,72,1,0,2006,1,168,61,0,141266,0,0,88,0,2,1,0,1,0,2,1,0,2,0,458,14,3,0,0,9,3
Trevor,Kettle,5,0,37,2,31,2024,1,185,60,224,140309,0,0,93,0,2,1,0,1,0,2,1,0,2,0,460,14,0,30,0,6,3
Brett,Huxtable,3,0,65,1,0,5,1,184,61,0,146802,0,0,84,0,0,3,0,1,0,1,1,0,2,0,461,14,2,0,0,3,2
John,Brooks,3,0,124,2,31,4,2,189,61,224,149000,0,0,78,0,0,4,0,1,0,0,1,0,2,0,462,14,0,30,0,4,3
John,Busby,2,0,65,1,0,10,1,180,61,0,147500,0,0,78,0,0,1,0,1,0,1,1,0,2,0,463,14,0,0,0,2,4
Michael,Salisbury,2,0,17,1,31,6,1,186,60,224,146980,0,0,81,0,0,1,0,1,0,1,1,0,2,0,464,14,0,30,0,4,3
Ollie,Yates,6,0,129,1,31,2029,1,176,60,224,147503,0,0,75,0,2,1,0,1,0,0,1,0,2,0,465,14,0,30,0,1,3
Robert,Jones,3,0,77,1,0,2019,1,182,60,0,147730,0,0,77,0,0,5,0,1,0,0,1,0,2,0,466,14,3,0,0,2,2
Anthony,Backhouse,3,6,30,2,0,7,1,182,61,0,149024,0,0,83,0,2,3,0,1,0,2,1,0,2,0,467,14,0,0,0,2,3
Antony,Coggins,6,0,75,1,0,25,1,170,61,0,148027,0,0,74,0,2,1,0,1,0,0,1,0,2,0,468,14,0,0,0,7,2
Martin,Coy,6,0,29,1,0,4003,1,170,61,0,146620,0,0,68,0,6,3,0,1,0,2,1,0,2,0,469,14,0,0,0,7,3
Craig,Hicks,3,0,149,1,0,2,1,185,61,0,147142,0,0,74,0,0,3,0,1,0,2,1,0,2,0,470,14,0,0,0,5,2
Tom,Nield,1,0,29,1,0,3500,2,188,61,0,149208,0,0,72,0,0,3,0,1,0,0,1,0,2,0,471,14,0,0,0,5,0
Scott,Oldham,2,0,77,1,0,2020,1,191,61,0,145941,0,0,81,0,0,1,0,1,0,2,1,0,2,0,472,14,0,0,0,6,1
