assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,adboardid,teamcolor3b,defmentality,powid,rightfreekicktakerid,domesticprestige,genericint2,jerseytype,popularity,teamstadiumcapacity,iscompetitionscarfenabled,cityid,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,trait1vequal,suittypeid,numtransfersin,stanchionflamethrower,captainid,personalityid,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
531,6,1,1,5237,255,255,1906,1,1,1,51,98,2,255,Preußen Münster,1,75,68,-1,281998,7,-1,2,5,15000,1,609,159,1,65,65,65,65,7,52,65,65,1,0,34,195262,2,165256,54,200925,0,0,54,2,281998,5,531,139656,2,0,0,195262,0,281998,0,0,0,0,52,500000,69,65,50,7,1,281998,204044,2,0,2,352,0,70,54,1053064,65
543,6,1,227,6160,155,169,1907,255,15,2,49,255,3,163,Regensburg,1,255,67,-1,202106,6,-1,2,3,15224,1,615,111239,1,66,66,66,65,12,68,65,65,1,0,63,202106,0,167936,53,202106,1,0,63,2,202106,2,543,135168,2,0,0,156437,0,202106,0,0,0,0,66,900000,79,66,77,7,1,208637,202106,2,0,1,352,0,69,53,135168,65
550,34,1,1,4047,255,255,1921,15,1,2,49,15,1,255,VfR Aalen,1,15,60,-1,282000,4,-1,2,3,14500,1,608,111235,1,66,65,66,67,10,49,65,65,1,0,32,211880,1,86016,42,211880,1,0,58,2,282000,7,550,90112,2,0,0,192241,0,282000,0,0,0,1,50,500000,56,65,56,10,1,282000,189603,2,0,3,352,0,69,62,526336,67
561,45,220,85,2300,1,1,1889,85,20,2,51,200,2,1,Forest Green,1,20,45,-1,219259,6,-1,2,1,5147,0,628,1936,2,59,60,59,62,-2,52,58,60,0,0,49,219259,1,1049600,33,186722,0,0,57,2,186722,1,561,1056768,2,0,0,189308,0,219259,0,0,0,0,51,750000,49,61,57,2,0,186154,197687,2,0,1,352,0,65,33,1052672,62
563,48,0,242,1072,255,255,1928,210,0,1,54,22,3,255,Sligo Rovers,34,8,48,-1,205053,6,-1,2,2,5500,0,455,1571,1,59,59,59,58,-8,39,58,56,1,0,39,193205,1,1082496,50,193205,1,5,55,2,280885,3,563,1082496,2,0,0,210388,0,205053,3,0,0,0,36,575000,41,58,31,9,0,183641,157190,2,0,1,352,0,63,41,1073280,58
567,39,112,5,39998,38,182,1902,255,67,3,-23,255,2,6,Fluminense,32,255,68,-1,280886,9,-1,2,8,78838,0,402,517,1,71,72,71,73,-43,72,72,72,1,0,45,283254,2,99345,75,280886,1,1,65,4,283254,7,567,167953,2,0,0,230393,1,280886,4,0,0,0,72,9000000,63,72,79,3,-3,283254,230479,7,0,5,352,0,73,45,1085457,73
568,39,52,4,90998,255,255,1921,255,170,4,-20,255,1,255,Cruzeiro,32,255,59,-1,230275,10,-1,2,6,61846,1,44,1035,1,73,73,73,72,-44,38,73,73,1,0,44,230237,1,115713,53,230275,1,4,54,2,282004,4,568,115713,1,0,0,230213,1,230237,4,0,0,1,39,12500000,44,73,34,4,-3,230237,230237,7,0,6,352,0,76,74,1105921,72
570,6,128,0,11485,0,255,1925,255,64,1,42,255,4,0,Terni,1,0,60,-1,280548,4,-1,2,1,17460,1,476,199,1,61,63,61,63,12,49,63,63,1,0,63,203911,1,99368,33,280548,1,0,49,2,280548,7,570,90152,2,0,0,211189,1,280548,0,0,0,0,51,2000000,41,63,47,9,1,203911,170565,2,0,1,352,0,67,73,548904,63
573,40,90,25,95824,255,255,1994,83,170,3,36,140,3,255,Málaga CF,5,195,44,-1,203627,5,-1,2,5,30044,2,298,481,1,76,76,76,76,-4,53,76,76,2,0,35,201893,1,135168,47,201893,0,0,63,2,203627,6,573,1056768,0,0,0,201893,0,203627,0,0,0,0,50,9400000,35,76,63,7,1,201893,216468,2,0,2,352,0,78,47,526336,76
576,6,60,0,8348,255,255,1902,224,166,2,54,39,4,255,Kiel,1,56,67,-1,282007,6,-1,2,3,13400,1,642,27,1,67,67,67,67,10,72,67,67,1,0,39,209485,1,135194,59,198617,0,0,59,2,209485,6,576,135194,2,0,0,211826,0,282007,1,0,0,0,66,1700000,71,67,65,6,1,238569,212244,2,0,1,352,0,68,59,266266,67
598,39,0,250,117997,255,255,1930,1,0,2,-23,1,4,255,São Paulo,32,1,59,-1,230414,9,-1,2,7,72039,0,434,383,1,69,70,69,73,-46,36,71,71,1,0,40,230414,1,99488,49,230489,0,0,42,2,230414,8,598,83104,2,0,0,230525,0,230414,6,0,0,0,40,10000000,50,70,40,6,-3,230414,230414,7,0,6,352,0,76,70,83104,73
605,43,1,1,17578,255,255,1957,1,204,5,24,1,5,255,Al Hilal,39,153,47,-1,237303,10,-1,2,6,62685,1,405,607,1,72,72,72,73,46,38,71,72,1,1,38,237303,1,115880,54,191269,1,8,49,4,191269,6,605,1098920,0,0,0,191843,1,237303,14,0,0,0,40,7700000,45,72,35,1,3,237303,192708,9,0,7,352,0,74,75,1073320,75
607,43,255,255,6450,1,1,1927,255,1,5,21,255,5,1,Al Ittihad,39,255,57,-1,282859,9,-1,2,5,62000,1,232,605,1,71,67,70,69,39,53,63,66,1,0,49,213009,1,66577,61,282859,0,8,48,4,282859,9,607,106513,2,0,0,219106,0,282859,8,0,0,0,47,2500000,66,68,56,5,3,219106,188414,9,0,6,352,0,72,58,1056785,69
614,51,34,224,8999,255,255,1910,255,16,2,41,1,2,255,AC Ajaccio,7,1,43,-1,282463,4,-1,2,1,10446,1,6,219,1,66,68,66,68,8,72,66,64,1,0,53,282466,1,1056768,42,201451,0,0,66,2,282463,2,614,1052672,2,0,0,153275,0,282463,0,0,0,0,69,800000,63,67,76,8,1,282466,50955,2,0,1,352,0,71,42,526336,68
631,67,25,25,4199,250,250,1929,25,129,2,57,25,4,250,Ross County,1,112,29,-1,210352,4,-1,2,1,6541,0,137,77,0,65,65,66,64,-4,73,65,64,0,0,33,280894,1,165200,50,201084,1,0,23,2,280894,6,631,543056,2,0,0,193083,0,210352,0,0,0,0,67,700000,80,64,60,7,0,193552,210352,2,0,1,352,0,69,80,545104,65
650,46,145,13,4598,4,255,1905,10,49,1,52,10,3,236,ADO Den Haag,14,10,44,-1,184001,5,-1,2,4,15000,2,133,245,2,69,66,68,66,4,51,66,67,2,0,33,184001,0,1056768,48,184001,1,2,34,2,184001,3,650,1056768,0,0,0,204476,0,184001,0,0,0,0,51,2000000,33,67,34,5,1,184001,184001,2,0,1,352,0,73,48,526336,64
665,42,120,13,7997,255,255,1910,255,1,3,39,255,2,255,V. Setúbal,25,255,41,-1,282013,3,-1,1,2,13468,1,444,1889,1,70,70,70,71,-9,55,71,71,1,0,58,282013,2,1089808,43,282013,1,3,37,5,210544,6,665,1089808,0,0,0,211107,0,210544,0,0,0,0,59,850000,44,70,56,8,0,229473,179884,2,0,2,352,0,73,52,526608,71
666,42,0,255,5934,255,255,1930,240,0,5,41,25,2,255,Vila das Aves,1,25,43,-1,186748,2,-1,2,1,5441,0,645,1900,1,71,72,71,71,-8,51,70,71,1,0,48,186748,1,1089536,67,186748,0,0,61,2,282014,4,666,1089536,1,0,0,158685,0,186748,0,0,0,0,50,800000,48,71,61,2,0,282996,204737,2,0,1,352,0,70,47,542720,72
670,70,5,5,2600,255,255,1904,40,5,5,50,40,1,255,Sp. Charleroi,11,40,48,-1,183392,6,-1,2,3,15000,2,103,232,2,69,71,70,69,4,70,72,68,2,0,43,183392,1,270352,46,233897,0,0,32,2,163370,1,670,1052688,0,0,0,213136,0,183392,0,0,0,0,67,1400000,73,69,62,6,1,183392,231416,2,0,2,352,0,72,46,526352,71
673,70,72,55,70997,255,255,1988,255,186,5,51,255,5,255,KRC Genk,11,255,67,-1,203895,7,-1,2,5,23718,2,179,232,2,73,74,75,72,5,39,73,72,2,0,63,203895,1,99594,47,231969,1,3,63,2,203895,6,673,132362,2,0,0,231969,0,231969,3,0,0,0,38,8500000,53,72,33,6,1,218066,231969,2,0,4,352,0,76,53,1057034,73
674,70,58,1,59995,255,255,1900,1,183,4,51,108,4,255,KAA Gent,11,153,67,-1,280858,8,-1,2,5,19999,2,181,231,2,72,73,73,74,3,38,74,73,2,0,57,280858,2,296070,51,201043,0,3,57,2,224813,2,674,164998,0,0,0,201043,1,280858,1,0,0,0,37,12500000,47,73,37,2,1,224813,168732,2,0,5,352,0,77,47,1089670,73
680,70,219,246,3951,200,46,1924,16,0,2,50,35,5,65,Sint-Truiden,11,140,42,-1,228804,3,-1,2,3,14600,2,451,673,2,67,70,69,68,5,55,69,68,2,0,41,282018,1,1069056,47,228804,1,0,40,2,228804,5,680,542720,2,0,0,183407,0,228804,0,0,0,0,62,1200000,47,68,52,6,1,228981,228804,2,0,1,352,0,71,55,526336,70
682,70,28,237,11997,0,255,1981,0,36,3,51,166,2,226,KV Oostende,1,80,46,-1,239675,7,-1,2,3,8432,2,358,231,2,71,71,71,71,2,39,70,72,2,0,39,239675,2,1082374,53,200414,1,0,33,2,200414,3,682,1082374,0,0,0,158394,0,239675,0,0,0,0,39,3000000,39,72,39,7,1,204227,163429,2,0,2,352,0,73,39,1089542,71
687,33,223,250,130000,1,1,1994,250,22,2,40,223,1,1,Columbus Crew SC,1,22,60,-1,202223,8,-1,2,3,19968,1,114,693,1,72,71,73,75,-83,36,68,68,1,0,40,212424,1,82980,29,202223,1,1,58,2,202223,4,687,82980,0,0,0,212424,0,202223,1,0,1,1,40,3660000,60,70,40,5,-5,179551,202223,2,0,3,352,0,73,70,86052,77
688,33,1,1,229998,255,255,1995,239,1,1,39,47,1,255,D.C. United,1,36,49,-1,221634,9,-1,2,4,20000,1,522,689,1,68,68,68,68,-77,68,67,67,1,0,65,221634,0,1069130,53,221634,1,3,47,2,221634,3,688,1069130,1,0,0,221621,1,221634,4,0,0,1,66,3660000,75,68,77,5,-5,221634,221634,2,1,4,352,0,73,73,1069130,66
689,33,0,246,244999,255,255,1995,31,29,1,41,42,1,255,NY Red Bulls,1,62,66,-1,226273,8,-1,1,6,25000,1,210,112828,1,69,69,70,75,-74,52,68,68,1,0,61,280905,0,139265,31,226273,0,0,61,2,226273,5,689,139265,0,0,0,179820,1,226273,0,0,0,1,49,3660000,64,69,37,5,-5,199729,176062,2,0,4,352,0,72,31,139265,77
691,33,52,38,224997,255,255,1995,235,84,1,42,22,2,255,New England,1,52,46,-1,206631,7,-1,2,4,20000,1,166,689,1,69,70,70,71,-71,38,70,69,1,0,53,178284,0,1049736,44,206631,1,1,41,2,178284,4,691,1049736,1,0,0,178284,0,178284,0,0,0,1,40,3660000,55,69,35,5,-5,178284,190184,2,0,3,352,0,70,55,1049736,71
693,33,0,246,239999,255,255,1997,15,29,1,42,38,2,255,Chicago Fire,1,106,27,-1,208592,3,-1,2,2,20000,1,73,687,1,71,68,69,72,-88,36,67,68,1,0,30,208592,1,525568,32,208592,1,4,28,4,208592,2,693,525568,2,0,0,213751,1,208592,1,0,0,1,38,3660000,58,70,38,5,-6,204136,121944,2,0,1,352,0,69,58,526592,69
694,33,1,129,135000,255,153,1995,129,14,1,40,1,2,204,Colorado Rapids,1,14,48,-1,208371,3,-1,2,2,18061,1,115,111065,1,68,68,68,66,-105,69,68,68,1,0,66,220934,0,1069124,36,208371,1,0,62,2,208371,2,694,1069124,2,0,0,16254,0,208371,1,0,0,1,73,3660000,76,68,72,5,-7,281754,208371,2,0,1,352,0,74,76,1069124,64
695,33,0,220,184998,255,255,1995,1,0,2,33,62,2,255,FC Dallas,1,127,35,-1,189153,5,-1,1,3,20500,1,169,698,1,72,71,72,71,-97,40,71,70,1,0,50,213209,1,73744,50,213209,0,1,65,5,213209,5,695,73744,1,0,0,206662,0,189153,0,0,1,0,75,3660000,65,70,65,5,-6,213209,189153,2,0,2,352,0,75,50,73744,71
696,33,24,12,259999,191,118,1995,255,43,1,39,255,2,156,Sporting KC,1,255,66,-1,234774,8,-1,2,3,18467,1,240,698,1,70,69,70,69,-95,36,70,70,1,0,70,234774,1,132112,34,190396,1,3,70,2,204475,4,696,132112,0,0,0,202787,1,234774,2,0,0,1,40,3660000,40,70,40,5,-6,204709,190557,2,0,2,352,0,72,40,132112,68
697,33,36,0,314999,0,255,1995,255,93,3,34,255,1,210,LA Galaxy,1,255,47,-1,184575,10,-1,2,7,27000,1,97,111928,1,72,70,71,72,-118,38,66,69,1,0,68,184575,2,1049600,31,184575,1,2,38,4,184575,5,697,1065984,1,0,0,207967,0,184575,5,0,1,0,37,3660000,42,71,32,5,-8,184575,184575,2,0,5,352,0,72,72,1049600,72
698,33,135,246,217999,255,255,2005,240,18,1,30,130,2,255,Houston Dynamo,1,12,44,-1,199569,7,-1,2,5,22039,1,220,695,1,69,69,70,70,-95,68,69,68,1,0,41,199569,1,526344,52,226220,0,0,58,6,212747,3,698,1052680,1,0,0,197154,0,199569,2,0,0,0,69,3660000,71,68,68,5,-6,199569,199569,2,1,2,352,0,73,52,1052680,71
700,47,220,249,8697,1,1,1904,255,36,3,57,255,2,1,IF Elfsborg,15,30,66,-1,205834,8,-1,2,3,16899,1,62,319,1,67,65,66,68,12,40,64,65,1,0,42,205834,1,263174,51,205834,0,3,62,2,205834,7,700,132102,0,0,0,175941,0,205834,6,0,0,1,37,1000000,52,67,32,5,1,235236,205834,2,0,1,352,0,70,52,139270,67
702,47,68,17,7499,255,255,1897,32,126,4,58,95,2,255,IFK Norrköping,15,223,66,-1,213512,7,-1,1,4,15734,1,349,705,1,66,66,66,66,16,40,67,67,1,0,48,213512,2,132138,22,209039,1,6,68,2,213512,7,702,132138,0,0,0,203929,0,213512,13,0,0,0,38,950000,58,66,38,5,1,207562,213512,2,0,1,352,0,71,58,132138,66
705,47,255,255,4198,1,1,1908,245,255,2,59,255,2,1,Örebro SK,15,235,43,-1,197240,5,-1,1,3,12650,0,359,702,1,64,64,65,68,15,53,62,62,1,0,35,197240,1,66568,42,231488,1,0,66,2,188970,2,705,1056776,0,0,0,181298,0,197240,0,0,0,1,50,650000,35,64,66,5,1,197240,181013,2,0,1,352,0,69,42,532488,68
708,47,97,0,8499,255,255,1897,0,33,3,59,77,2,255,Hammarby IF,15,24,43,-1,187339,4,-1,1,3,30000,1,464,710,1,67,66,67,67,18,52,63,65,1,0,44,187339,1,1052740,32,187339,1,0,58,2,187339,1,708,1056836,1,0,0,192363,0,187339,1,0,0,0,50,850000,44,66,58,3,1,187339,187339,2,0,1,352,0,70,32,526404,67
710,47,128,0,5569,95,47,1891,15,255,3,59,125,1,62,Djurgårdens IF,15,210,59,-1,208437,6,-1,2,3,30000,1,464,433,1,68,69,68,69,18,51,70,67,1,0,50,208437,2,165000,50,235239,0,4,60,4,183885,4,710,73864,1,0,0,183885,1,208437,11,0,0,0,53,1600000,63,67,34,4,1,208437,31831,2,0,1,352,0,70,50,1069192,69
711,47,204,255,7707,1,1,1940,255,0,5,58,255,1,1,BK Häcken,15,255,47,-1,157305,6,-1,1,2,6500,0,218,319,1,68,68,68,67,12,53,70,68,1,0,60,157305,1,1089536,71,192169,1,1,57,2,192169,6,711,1089536,0,0,0,157305,0,157305,0,0,0,0,49,750000,60,67,57,8,1,157305,192165,2,0,1,352,0,71,41,1089536,68
741,39,23,168,40995,255,255,1966,255,31,2,36,255,4,255,Antalyaspor,37,255,32,-1,165239,5,-1,1,4,32539,1,20,742,1,74,73,74,77,30,56,70,72,1,0,50,165239,2,1099010,56,188045,0,0,48,4,188045,5,741,1106178,2,0,0,184944,0,165239,0,0,0,0,52,7000000,50,73,53,6,2,165239,185204,9,0,3,352,0,75,49,542978,77
742,39,130,8,72998,255,255,1963,14,57,2,40,177,3,255,Bursaspor,37,67,46,-1,280673,6,-1,2,5,43331,1,85,327,1,72,72,72,72,29,49,71,71,1,0,66,232329,0,1099109,73,280673,1,1,59,4,280673,7,742,1106277,1,0,0,126909,0,280673,1,0,0,0,51,6000000,66,72,59,8,2,232329,153179,9,0,5,352,0,74,73,299365,72
744,42,110,0,9996,255,255,1939,255,10,3,41,255,4,255,Rio Ave,25,255,67,-1,227890,6,-1,1,3,9065,0,516,1896,1,72,72,72,71,-9,40,72,70,2,0,70,227890,1,83124,39,210743,1,0,70,2,227890,7,744,148660,0,0,0,222598,0,227890,0,0,0,0,40,1100500,50,72,40,7,0,227890,182632,2,0,4,352,0,72,80,1073332,71
819,69,76,9,89997,255,255,1992,10,187,4,55,74,2,255,FC København,12,177,76,-1,280922,10,-1,2,5,38065,1,248,269,1,71,70,70,69,13,52,70,72,1,0,44,219755,0,279736,54,205929,0,8,74,2,219755,2,819,286904,2,0,0,206022,1,280922,12,0,0,0,52,4500000,69,71,68,5,1,201335,181343,2,0,3,352,0,73,74,1069240,67
820,69,18,228,8798,255,255,1885,227,0,3,57,18,5,255,Aalborg BK,12,0,67,-1,224356,8,-1,1,5,13800,0,1,271,1,65,65,65,63,9,37,65,67,1,0,48,224356,0,66720,32,224356,1,3,68,2,224356,8,820,132256,2,0,0,213543,0,224356,4,0,1,1,38,1000000,38,66,38,4,1,224311,138729,2,0,1,352,0,69,38,1056928,63
837,48,255,255,1797,1,1,1903,255,255,4,53,255,1,1,Dundalk,34,255,68,-1,210263,10,-1,2,4,4500,1,145,306,1,62,61,62,65,-6,37,61,61,0,0,46,201484,1,99464,53,201484,0,10,56,2,200134,3,837,99464,2,0,0,201467,0,210263,12,0,0,0,52,950000,63,61,49,8,0,199014,210263,2,0,2,352,0,67,55,123016,65
838,48,150,24,985,255,255,1942,45,76,1,53,149,2,255,Bray Wanderers,34,84,43,-1,180894,4,-1,2,1,3185,0,69,306,2,57,58,58,57,-6,52,59,58,0,0,44,180894,2,1098769,73,198543,1,2,47,2,180894,4,838,1105937,2,0,0,189872,0,180894,0,0,0,0,51,525000,44,57,47,10,0,180894,180894,2,0,1,352,0,62,73,1105937,57
873,23,81,0,19999,255,255,1922,65,156,3,52,121,3,255,Lech Poznań,26,198,74,-1,179569,10,-1,2,5,43269,1,388,1871,1,71,70,71,71,16,53,64,66,1,0,47,179569,1,270480,37,179569,1,5,77,4,179569,5,873,270480,0,0,0,210000,0,179569,7,0,0,1,50,5333000,45,70,63,5,2,201285,179569,2,0,5,352,0,72,37,1069200,71
894,39,255,255,5997,230,1,1896,255,255,2,47,255,4,155,FC Zürich,17,255,43,-1,191044,6,-1,1,5,26104,1,539,322,1,66,69,68,66,8,67,69,66,1,0,40,191044,1,296000,46,227698,1,9,32,2,184287,5,894,1069120,0,0,0,190640,0,239907,12,0,0,1,67,3050000,70,66,62,5,1,208159,191044,2,0,4,352,0,68,66,1069120,68
896,23,4,230,43296,129,1,1893,249,22,5,47,222,1,7,FC Basel,17,50,68,-1,280928,10,-1,2,7,38512,1,41,900,1,73,73,73,72,7,38,72,73,1,0,58,280928,1,83122,27,199504,1,12,58,2,239016,6,896,148658,2,0,0,181262,0,280928,20,0,0,1,38,7000000,48,73,38,2,1,231786,210538,2,0,6,352,0,76,68,279730,73
897,23,98,0,9999,255,255,1901,240,170,3,47,230,3,255,FC Luzern,17,30,60,-1,223146,4,-1,2,3,16800,1,292,896,1,66,64,66,63,8,67,63,63,1,0,46,223146,1,83104,36,223146,1,2,64,2,223146,6,897,86176,2,0,0,158282,0,223146,1,0,0,0,73,1750000,74,64,72,6,1,239191,223146,2,0,3,352,0,69,76,135328,63
898,6,148,45,10998,255,255,1879,45,88,2,47,168,2,255,FC St. Gallen,17,88,47,-1,52752,6,-1,2,3,19964,1,461,322,1,68,68,68,67,9,50,67,66,1,0,52,52752,1,1066018,49,52752,0,1,65,2,52752,7,898,1073186,1,0,0,190060,0,52752,2,0,0,0,52,1750000,52,67,65,5,1,52752,52752,2,0,4,352,0,70,79,548898,69
900,39,209,255,31747,1,1,1898,255,0,4,46,219,2,1,BSC Young Boys,17,0,60,-1,282048,9,-1,2,6,32000,1,48,896,1,68,69,68,71,7,51,70,70,1,0,35,226060,0,106640,45,282048,0,6,61,2,282048,5,900,90256,0,0,0,204156,0,282048,11,0,0,0,53,4500000,68,69,51,5,1,240240,189945,2,0,4,352,0,72,65,1069200,71
917,23,107,19,5199,1,1,1912,255,174,2,59,255,2,1,Stabæk Fotball,13,255,66,-1,211238,4,-1,2,2,4938,1,32,920,1,64,64,64,62,11,37,62,64,1,0,35,211238,2,99336,29,233445,1,1,55,4,220786,5,917,132104,2,0,0,211238,1,211238,1,0,0,0,40,500000,55,65,35,10,1,206529,211238,2,0,1,352,0,71,55,548872,63
919,39,19,204,6299,255,255,1908,245,25,3,60,10,2,255,SK Brann,13,12,27,-1,200770,6,-1,1,3,17686,0,46,920,1,67,68,69,65,5,70,70,68,1,0,37,221552,0,528456,53,200770,0,6,35,2,200770,2,919,542792,2,0,0,189899,0,200770,3,0,0,0,72,1000000,63,67,63,2,1,200770,200770,2,0,1,352,0,69,63,542792,65
920,48,46,25,6299,63,226,1913,255,202,3,59,255,2,31,Vålerenga Fotball,13,255,59,-1,280934,8,-1,2,4,17000,1,361,299,1,68,67,68,67,10,40,64,64,1,0,63,209264,1,132096,47,280934,0,4,57,2,222661,6,920,66560,2,0,0,183377,0,280934,5,0,0,0,38,1300000,53,67,33,4,1,209264,204675,2,0,1,352,0,70,53,1052672,67
922,62,51,51,6598,255,255,1907,198,102,3,59,36,2,255,Strømsgodset IF,13,5,68,-1,203368,8,-1,1,3,8935,0,142,298,1,66,67,67,66,10,51,67,67,1,0,56,197391,1,155904,36,197391,1,5,56,2,203368,7,922,155904,0,0,0,233400,0,203368,2,0,0,0,49,1100000,63,66,40,7,1,197391,203368,2,0,1,352,0,70,66,90368,67
982,23,1,255,12299,1,1,1983,255,1,5,37,255,5,1,FC Seoul,1,255,48,-1,203834,8,-1,2,6,66806,1,443,983,1,68,67,68,69,126,51,65,65,1,1,48,176406,1,73760,56,176406,1,2,70,4,221567,6,982,1056800,2,0,0,193847,0,203834,5,0,0,0,49,4600000,48,67,70,3,9,193847,202968,4,0,7,352,0,70,56,1056800,69
983,23,1,1,11573,255,255,1995,204,204,4,37,1,4,255,Suwon Samsung,1,1,43,-1,237775,8,-1,2,6,43959,1,469,982,1,68,69,68,70,127,51,69,69,1,1,43,192270,1,1105960,78,237775,1,3,52,4,218471,8,983,1105960,0,0,0,218471,0,237775,4,0,0,0,51,5000000,43,69,52,2,9,192270,176348,4,0,5,352,0,71,78,1105960,70
1013,36,44,29,74194,17,217,1908,29,63,3,-34,44,1,27,San Lorenzo,1,63,44,-1,205756,9,-1,2,7,47964,2,82,111711,1,74,74,74,77,-58,38,73,73,1,1,68,200197,2,66592,21,235827,1,0,48,2,233372,3,1013,1049632,2,0,0,205756,0,205756,15,0,0,0,37,10000000,42,74,32,3,-3,200197,143587,7,0,8,352,0,76,42,1056800,77
1028,71,229,255,39998,29,226,1924,255,0,1,19,229,3,29,Monarcas Morelia,24,0,49,-1,213597,4,-1,2,4,34794,1,329,1880,2,70,70,70,75,-101,66,69,71,1,0,31,213597,0,1057024,43,223637,1,1,57,6,223637,4,1028,1052928,0,0,0,204406,0,213597,1,0,0,0,68,3000000,61,71,67,8,-6,213597,213597,7,0,5,352,0,74,43,526592,74
1032,71,34,13,154251,255,255,1945,13,63,3,25,34,1,255,Monterrey,24,63,74,-1,198140,9,-1,2,6,53500,1,325,1970,2,75,75,76,75,-100,36,73,73,1,1,54,205510,2,184594,53,205510,1,1,64,4,205510,5,1032,312594,0,0,0,183581,0,198140,4,0,1,0,39,17500000,34,74,34,3,-6,198140,196143,7,0,9,352,0,77,64,542994,78
1035,39,1,1,55668,255,255,1908,255,1,2,-20,255,4,255,Atlético Mineiro,32,255,60,-1,230286,7,-1,2,7,23018,1,44,568,1,72,72,72,73,-44,49,73,73,1,0,67,230286,1,172160,67,230286,0,1,57,4,230469,4,1035,172160,2,0,0,230389,0,230469,1,0,0,0,43,13500000,57,72,51,2,-3,187736,230469,7,0,6,352,0,74,66,106624,73
1039,39,0,220,23779,1,1,1924,255,29,3,-25,255,2,1,Atl. Paranaense,32,255,27,-1,230278,5,-1,2,3,40305,2,129,111044,1,71,71,71,68,-49,68,72,72,1,1,28,281557,0,82948,63,230278,0,0,25,4,281557,7,1039,559108,2,0,0,230218,0,230278,1,0,0,0,69,2000000,63,71,43,10,-3,230278,230487,7,0,4,352,0,71,43,559108,68
1053,39,255,255,67996,1,1,1912,1,255,3,-24,1,2,1,Santos,32,1,48,-1,282998,6,-1,2,5,16068,1,433,383,1,74,74,74,72,-46,50,75,75,0,0,67,230302,2,1089536,35,230465,0,1,39,2,230465,8,1053,1056768,2,0,0,230475,0,282998,8,0,0,1,53,6050000,67,74,39,8,-3,230475,230267,7,0,5,352,0,74,35,1056768,72
1318,39,255,255,0,6,241,1863,255,255,5,51,255,5,6,England,1,255,43,-1,280438,10,-1,2,0,90000,0,0,1337,1,82,82,82,86,0,52,81,81,0,0,49,280444,0,1056768,41,280438,1,0,55,2,280438,0,1318,1056768,0,0,0,280442,0,280444,0,0,0,0,49,0,49,82,55,0,0,280444,202335,2,0,8,352,0,82,41,1056768,86
1322,62,9,204,0,255,255,1904,239,26,5,48,2,5,255,Austria,1,40,66,-1,173474,10,-1,1,0,50865,1,0,1337,1,78,77,78,77,16,39,77,77,1,0,50,197445,0,164912,24,197445,1,0,70,2,197445,0,1322,132144,1,0,0,189606,0,197445,0,0,0,0,40,0,40,77,40,0,1,184200,173474,2,0,4,352,0,77,40,73776,77
1325,23,40,238,0,69,250,1895,10,57,5,50,10,2,224,Belgium,1,10,45,-1,192985,10,-1,2,0,50122,1,0,105035,1,84,84,84,84,4,36,85,85,1,0,46,192985,0,115728,50,192985,1,0,60,4,192985,0,1325,1098768,0,0,0,183277,0,192985,0,0,0,1,36,0,56,84,36,0,1,183277,192985,2,0,7,352,0,84,66,1098768,84
1327,6,107,37,0,255,255,1923,182,83,3,43,35,5,255,Bulgaria,1,41,44,-1,185373,10,-1,1,0,43340,1,0,1356,1,70,70,70,70,23,50,69,69,1,0,47,185373,1,66560,41,185373,1,0,55,4,185373,0,1327,1056768,0,0,0,185373,0,185373,0,0,0,0,49,0,47,70,55,0,2,185373,185373,2,0,5,352,0,70,41,526336,70
1330,62,27,225,0,163,59,1901,255,34,3,50,255,3,90,Czech Republic,1,255,75,-1,181271,10,-1,1,0,21000,1,0,1337,1,75,75,75,75,14,71,75,75,0,0,41,181271,2,73728,41,181271,0,0,71,2,181271,0,1330,266240,2,0,0,155989,0,181271,0,0,0,0,68,0,62,75,75,0,1,201262,181271,2,0,5,352,0,75,41,526336,75
1331,65,4,154,0,255,255,1889,153,8,4,55,3,3,255,Denmark,1,8,60,-1,190460,10,-1,2,0,38009,0,0,1363,1,78,78,78,76,13,53,77,77,0,0,52,190460,1,139552,42,190460,1,0,46,2,190460,0,1331,74016,0,0,0,179645,0,190460,0,0,0,0,50,0,45,78,68,0,1,201943,190460,2,0,5,352,0,78,42,526624,76
